cityname,lat,lng
california/north-counties/santa-rosa/,,
california/north-counties/napa/,,
california/north-counties/san-rafael/,,
california/north-counties/sebastopol/,,
california/coast-and-central-bay/oakland/,,
california/coast-and-central-bay/oakland-west/,,
california/coast-and-central-bay/san-francisco/,,
california/coast-and-central-bay/san-pablo/,,
california/eastern-district/concord/,,
california/eastern-district/livermore/,,
california/south-central-bay/redwood-city/,,
california/coast-and-central-bay/laney-college-fwy/,,
losangeles/los-angeles-north-main-street/,-118.22676,34.06653
losangeles/north-long-beach-long-beach/,33.82376,-118.18916
losangeles/reseda/,34.1992,-118.53275
losangeles/burbank/,34.17599,-118.31701
losangeles/glendora-laurel/,-117.85038,34.14437
losangeles/santa-clarita-placerita/,34.38337,-118.52839
california/riverside/rubidoux-mission-blvd/,-117.41595,33.99952
california/riverside/riverside-magnolia/,-117.40056,33.94586
california/riverside/lake-elsinore-w-flint-street/,33.67653,-117.33104
california/riverside/banning-airport/,33.92077,-116.85841
california/san-bernardino/upland/,-117.62906,34.10367
california/san-bernardino/lake-gregory-crestline/,34.24313,-117.2723
california/calaveras/san-andreas-gold-strike-road/,38.20185,-120.68028
california/mariposa/yosemite-village-visitor-center/,37.74871,-119.58709
california/nevada/truckee-fire-station/,39.32782,-120.18459
california/plumas/chester/,40.30961,-121.22779
california/plumas/portola-nevada-street/,39.80587,-120.46866
california/plumas/quincy-n-church-street/,39.93957,-120.94438
california/kern/mojave/,35.05045,-118.14778
california/monterey/king-city-pearl/,-121.12596,36.20902
california/santa-cruz/santa-cruz-soquel-avenue/,36.98401,-121.99097
california/los-angeles/south-long-beach/,33.7924,-118.17525
california/riverside/mira-loma-van-buren/,33.99636,-117.4924
california/riverside/temecula-lake-skinner/,33.58333,-117.08333
california/san-luis-obispo/cdf-arroyo-grande/,35.04676,-120.58777
california/san-luis-obispo/atascadero-lewis-avenue/,-120.66799,35.49153
california/san-luis-obispo/nipomo-guadalupe-road/,-120.56389,35.02079
california/san-luis-obispo/san-luis-obispo-higuera-street/,35.25651,-120.6693
california/santa-barbara/goleta-fairview/,34.44551,-119.82845
california/santa-barbara/lompoc-south-h-street/,34.63782,-120.4575
california/santa-barbara/santa-barbara-national-guard-armory/,34.42775,-119.69091
california/santa-barbara/santa-maria-south-broadway/,34.94287,-120.43561
california/ventura/el-rio-rio-mesa-school--2/,34.25238,-119.14318
california/ventura/ojai-east-ojai-av/,34.44804,-119.23131
california/ventura/piru-pacific/,34.40426,-118.80991
california/san-diego/alpine-victoria-drive/,32.84231,-116.76784
california/san-diego/camp-pendleton/,33.21701,-117.39616
california/san-diego/el-cajon-redwood-avenue/,32.7912,-116.9421
california/san-diego/san-diego-beardsley/,32.70148,-117.14962
california/marin/point-reyes/,38.12275,-122.90836
california/fresno/clovis-n-villa-avenue/,36.81931,-119.71639
california/fresno/fresno-drummond-street/,36.70556,-119.74139
california/fresno/fresno-garland/,36.78538,-119.77321
california/fresno/huron-4th-street/,36.19865,-120.10117
california/fresno/tranquility/,36.63434,-120.38234
california/kern/bakersfield-california-avenue/,35.35662,-119.06261
california/kern/lebec/,34.84155,-118.86058
california/kings/hanford-s-irwin-street/,36.31572,-119.64323
california/madera/madera-pump-yard/,36.86719,-120.01011
california/merced/merced-coffee-road/,37.28177,-120.43368
california/san-joaquin/manteca-ams/,-121.24779,37.79338
california/san-joaquin/stockton-hazelton/,37.95075,-121.26897
california/san-joaquin/tracy-airport/,37.68268,-121.44238
california/stanislaus/modesto-14th-street/,37.64217,-120.99421
california/tulare/porterville/,36.03179,-119.05505
california/tulare/visalia/,36.33252,-119.29095
california/imperial/bombay-beach/,33.35264,-115.73419
california/imperial/calexico-ethel-street/,32.67618,-115.48307
california/imperial/naval-test-base/,33.16923,-115.85593
california/imperial/sonny-bono/,33.17638,-115.6231
california/riverside/salton-sea-park/,33.50896,-115.91954
california/riverside/torres-martinez/,33.51831,-116.07538
california/butte/chico-east-avenue/,39.76168,-121.84047
california/butte/gridley/,39.32756,-121.66881
california/colusa/colusa-sunrise-blvd/,39.18919,-121.99887
california/glenn/willows-colusa/,39.53387,-122.19083
california/placer/roseville-n-sunrise-ave/,38.74643,-121.26498
california/sacramento/elk-grove-bruceville-road/,38.30256,-121.42083
california/sacramento/folsom-natoma-street/,38.68329,-121.16444
california/sacramento/sacramento-del-paso-manor/,38.61374,-121.36801
california/sacramento/sacramento-1309-t-street/,38.56844,-121.49311
california/shasta/anderson-north-street/,40.45318,-122.29883
california/solano/vacaville-ulatis-drive/,38.35655,-121.94986
california/sutter/yuba-city/,39.13876,-121.61872
california/yolo/davis-ucd-campus/,-121.7734,38.53455
california/yolo/woodland-gibson-road/,38.66121,-121.73269
california/stanislaus/turlock-s-minaret-street/,37.48822,-120.83592
california/orange/anaheim-loara-school/,-117.9385,33.83061
california/butte/paradise-theater/,39.77919,-121.59135
california/ventura/thousand-oaks-moorpark-road/,34.21014,-118.8705
california/mendocino/ukiah-library/,39.15047,-123.20655
california/imperial/salton-city/,33.27275,-115.90062
california/san-benito/hollister-fairview-road/,36.84343,-121.3621
california/imperial/niland-english-road/,33.21349,-115.54514
california/mendocino/willits-justice-center/,39.41174,-123.35264
california/monterey/salinas--3/,-121.62327,36.69426
california/alameda/livermore-rincon/,-121.7842,37.6875
california/alameda/oakland-east/,37.74306,-122.16994
california/alameda/oakland-west/,37.8148,-122.28236
california/contra-costa/concord/,37.936,-122.0262
california/contra-costa/san-pablo-rumrill/,37.9604,-122.35685
california/marin/san-rafael/,37.9723,-122.52011
california/napa/napa-jefferson-avenue/,38.31097,-122.29616
california/san-francisco/san-francisco-arkansas-street/,37.76595,-122.39902
california/san-mateo/redwood-city/,37.48293,-122.20348
california/santa-clara/san-jose-jackson-st/,37.34849,-121.89494
california/santa-clara/gilroy-9th-street/,36.99958,-121.57466
california/madera/madera-city/,36.95326,-120.03419
california/plumas/portola-gulling-street/,39.81336,-120.47069
california/kern/kernville-forest-service/,35.7533,-118.417
california/placer/tahoe-city-221-fairway-drive/,39.16602,-120.14883
california/placer/auburn-11645-atwood-road/,-121.09959,38.93568
california/placer/lincoln-1445-1st-street/,38.88563,-121.30208
california/alameda/oakland-laney-college/,-122.263356,37.793635
california/fresno/pinehurst-forest-service/,36.69731,-119.0188
california/tulare/springville-forest-service/,36.1344,-118.811
california/solano/rio-vista-ys/,38.167275,-121.6884167
california/sonoma/sebastopol-103-morris-street/,38.403765,-122.818294
california/san-diego/otay-mesa-donovan-correctional-facility/,32.57944,-116.92944
california/inyo/keeler-cerro-gordo-road/,36.48785,-117.87104
california/placer/tahoe-city-221-fairway-drive/,39.16602,-120.14883
california/placer/auburn-atwood-rd/,38.93568,-121.09959
california/solano/rio-vista-st-francis-way/,38.167275,-121.6884167
california/san-luis-obispo/atascadero-lift-station--5/,35.49453,-120.66617
california/santa-clara/san-jose-knox-avenue/,37.338202,-121.849892
california/tehama/red-bluff-walnut-st/,40.17088,-122.25556
california/inyo/bishop-line/,37.366389,-118.35
